Timestamp,Source IP,Destination IP,Query,Query Type,Query Class,Response Code
1720703470.634174,192.168.1.1,192.168.1.11,colab.research.google.com.,28,1,
1720703470.634174,192.168.1.1,192.168.1.11,colab.research.google.com.,1,1,
1720703470.634174,192.168.1.1,192.168.1.11,colab.research.google.com.,65,1,
1720703478.505546,192.168.1.11,192.168.1.1,accounts.google.com.,28,1,
1720703478.505709,192.168.1.11,192.168.1.1,accounts.google.com.,1,1,
1720703478.505821,192.168.1.11,192.168.1.1,accounts.google.com.,65,1,
1720703478.516492,192.168.1.1,192.168.1.11,accounts.google.com.,28,1,
1720703478.516492,192.168.1.1,192.168.1.11,accounts.google.com.,1,1,
1720703478.537548,192.168.1.1,192.168.1.11,accounts.google.com.,65,1,
1720703478.537591,192.168.1.11,192.168.1.1,accounts.google.com.,65,1,
1720703480.622556,192.168.1.11,192.168.1.1,chatgpt.com.,28,1,
1720703480.622954,192.168.1.11,192.168.1.1,chatgpt.com.,1,1,
1720703480.623111,192.168.1.11,192.168.1.1,chatgpt.com.,65,1,
1720703480.63409,192.168.1.1,192.168.1.11,chatgpt.com.,28,1,
1720703480.634795,192.168.1.1,192.168.1.11,chatgpt.com.,1,1,
1720703480.634795,192.168.1.1,192.168.1.11,chatgpt.com.,65,1,
1720703481.007914,192.168.1.11,192.168.1.1,cdn.oaistatic.com.,28,1,
1720703481.008276,192.168.1.11,192.168.1.1,cdn.oaistatic.com.,1,1,
1720703481.008609,192.168.1.11,192.168.1.1,cdn.oaistatic.com.,65,1,
1720703481.029246,192.168.1.1,192.168.1.11,cdn.oaistatic.com.,28,1,
1720703481.029359,192.168.1.1,192.168.1.11,cdn.oaistatic.com.,1,1,
1720703481.029396,192.168.1.1,192.168.1.11,cdn.oaistatic.com.,65,1,
1720703481.091939,192.168.1.11,192.168.1.1,capi.grammarly.com.,28,1,
1720703481.116711,192.168.1.1,192.168.1.11,capi.grammarly.com.,28,1,
1720703481.205407,192.168.1.11,192.168.1.1,e2c57.gcp.gvt2.com.,28,1,
1720703481.205599,192.168.1.11,192.168.1.1,e2c57.gcp.gvt2.com.,1,1,
1720703481.205738,192.168.1.11,192.168.1.1,e2c57.gcp.gvt2.com.,65,1,
1720703481.209708,192.168.1.11,192.168.1.1,applet-bundles.grammarly.net.,28,1,
1720703481.210025,192.168.1.11,192.168.1.1,applet-bundles.grammarly.net.,1,1,
1720703481.21018,192.168.1.11,192.168.1.1,applet-bundles.grammarly.net.,65,1,
1720703481.212105,192.168.1.11,192.168.1.1,applet-bundles.grammarly.net.,28,1,
1720703481.212409,192.168.1.11,192.168.1.1,applet-bundles.grammarly.net.,1,1,
